,cluster
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,0
466,0
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,0
573,1
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,0
591,1
592,0
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,1
647,0
648,0
649,0
650,1
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,1
675,0
676,1
677,0
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,0
686,1
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,0
697,1
698,0
699,1
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,1
729,1
730,0
731,0
732,0
733,1
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,0
811,1
812,1
813,1
814,0
815,0
816,1
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,1
830,1
831,1
832,0
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,1
842,0
843,0
844,1
845,1
846,1
847,0
848,0
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,0
858,1
859,0
860,1
861,0
862,0
863,1
864,1
865,1
866,0
867,1
868,1
869,0
870,1
871,0
872,0
873,0
874,1
875,1
876,1
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,0
885,1
886,0
887,1
888,0
889,1
890,1
891,0
892,0
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,1
912,0
913,1
914,1
915,0
916,1
917,0
918,0
919,1
920,0
921,1
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,1
947,1
948,0
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,1
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,0
969,1
970,1
971,0
972,0
973,1
974,0
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,0
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
